month	day	psalm	old_testament	new_testament
1	4	시1	창1-2	마1
1	5	시2	창3-4	마2
1	6	시3	창5-7	마3
1	7	시4	창8-10	마4
1	8	시5	창11-12	마5
1	11	시6	창13-15	마6
1	12	시7	창16-18	마7
1	13	시8	창19-21	마8
1	14	시9	창22-24	마9
1	15	시10	창25-26	마10
1	18	시11	창27-28	마11
1	19	시12	창29-30	마12
1	20	시13	창31-32	마13
1	21	시14	창33-35	마14
1	22	시15	창36-38	마15
1	26	시16	창39-41	마16
1	27	시17	창42-43	마17
1	28	시18:1-30	창44-46	마18
1	29	시18:31-50	창47-48	마19
1	30	시19	창49-50	마20
2	1	시20	출1-3	마21
2	2	시21	출4-6	마22
2	3	시22:1-21	출7-9	마23
2	4	시22:22-31	출10-12	마24
2	5	시23	출13-15	마25
2	8	시24	출16-18	마26
2	9	시25	출19-21	마27
2	10	시26	출22-25	마28
2	11	시27	출26-28	롬1
2	12	시28	출29-31	롬2
2	15	시29	출32-34	롬3
2	16	시30	출35-37	롬4
2	17	시31	출38-40	롬5
2	18	시32	레1-3	롬6
2	19	시33	레4-6	롬7
2	22	시34	레7-8	롬8
2	23	시35:1-18	레9-11	롬9
2	24	시35:19-28	레12-14	롬10
2	25	시36	출15-17	롬11
2	26	시37:1-22	출18-20	롬12
3	1	시37:23-40	출21-23	롬13
3	2	시38	출24-25	롬14
3	3	시39	출26-27	롬15
3	4	시40	민1-3	롬16
3	5	시41	민4-6	고전1
3	8	욥1	민7-8	고전2
3	9	욥2	민9-11	고전3
3	10	욥3	민12-14	고전4
3	11	욥4	민15-17	고전5
3	12	욥5	민18-20	고전6
3	15	욥6	민21-23	고전7
3	16	욥7	민24-26	고전8
3	17	욥8	민27-29	고전9
3	18	욥9	민30-32	고전10
3	19	욥10	민33-36	고전11
3	22	욥11	신1-2	고전12
3	23	욥12	신3-4	고전13
3	24	욥13	신5-7	고전14
3	25	욥14	신8-10	고전15
3	26	욥15	신11-13	고전16
3	29	욥16	신14-16	고후1
3	30	욥17	신17-19	고후2
3	31	욥18	신20-22	고후3
4	1	욥19	신23-25	고후4
4	2	욥20	신26-28	고후5
4	5	욥21	신29-30	고후6
4	6	욥22	신31-32	고후7
4	7	욥23	신33-34	고후8
4	8	욥24	수1-3	고후9
4	9	욥25	수4-6	고후10
4	12	욥26	수7-9	고후11
4	13	욥27	수10-11	고후12
